title,timestamp,price,original_price,shipping,url
Microsoft Xbox Series S,3/21/2025 13:20,US $299.00,US $129.99,Free shipping,https://www.ebay.com/itm/266190900217?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,3/21/2025 13:20,US $674.99,US $129.99,Free shipping,https://www.ebay.com/itm/166613095133?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
Google Pixel 8 Pro 128GB Factory Unlocked - Excellent,3/21/2025 13:20,US $434.99,US $880.99,Free shipping,https://www.ebay.com/itm/226348022590?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6"" 8GB/256GB SSD Excellent",3/21/2025 13:20,US $650.00,US $699.99,Free shipping,https://www.ebay.com/itm/166206685749?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished,3/21/2025 13:20,US $159.95,US $169.95,Free shipping,https://www.ebay.com/itm/185698601733?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,3/21/2025 13:20,US $207.77,"US $1,379.99",Free shipping,https://www.ebay.com/itm/194520534603?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
"HGST Ultrastar HUH728080ALE604 (0F23668) 8TB 7200RPM SATA 6Gb/s 3.5"" Hard Drive",3/21/2025 13:20,US $98.99,US $199.00,Free shipping,https://www.ebay.com/itm/155888794968?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,3/21/2025 13:20,US $69.99,US $329.00,Free shipping,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card,3/21/2025 13:20,US $69.99,US $899.99,Free shipping,https://www.ebay.com/itm/285048811662?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD",3/21/2025 13:20,US $147.99,US $899.99,Free shipping,https://www.ebay.com/itm/176825170520?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
Apple iPhone 13 Pro 128GB Unlocked - Excellent,3/21/2025 13:20,US $357.95,US $500.00,Free shipping,https://www.ebay.com/itm/403999454004?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
Apple iPhone 14 Pro 128GB Unlocked - Excellent,3/21/2025 13:20,US $446.95,US $76.54,Free shipping,https://www.ebay.com/itm/405469724990?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
Apple iPhone 13 128GB Unlocked - Excellent,3/21/2025 13:20,US $291.95,US $63.57,Free shipping,https://www.ebay.com/itm/404240045218?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
